,URL
1267,http://www.cml.pt/leiloes/online/1267/arte-moderna-e-contemporanea
1247,http://www.cml.pt/leiloes/online/1247/arte-moderna-e-contemporanea
1239,http://www.cml.pt/leiloes/online/1239/arte-moderna-e-contemporanea
1222,http://www.cml.pt/leiloes/online/1222/leilao-online-de-arte-moderna-e-contemporanea
1218,http://www.cml.pt/leiloes/online/1218/leilao-online-de-arte-moderna-e-contemporanea
1199,http://www.cml.pt/leiloes/online/1199/leilao-online-de-arte-moderna-e-contemporanea
1183,http://www.cml.pt/leiloes/online/1183/leilao-online-de-arte-moderna-e-contemporanea
1170,http://www.cml.pt/leiloes/online/1170/leilao-online-de-arte-moderna-e-contemporanea---coleccao-vasco-graca-moura-e-outras-proveniencias
1142,http://www.cml.pt/leiloes/online/1142/leilao-online-de-arte-moderna-e-contemporanea
1120,http://www.cml.pt/leiloes/online/1120/leilao-online-de-arte-moderna-e-contemporanea
1098,http://www.cml.pt/leiloes/online/1098/leilao-online-de-arte-moderna-e-contemporanea
1084,http://www.cml.pt/leiloes/online/1084/leilao-online-de-arte-moderna-e-contemporanea
1066,http://www.cml.pt/leiloes/online/1066/leilao-online-de-arte-moderna-e-contemporanea-e-objectos-de-decoracao
1047,http://www.cml.pt/leiloes/online/1047/leilao-online-de-arte-moderna-e-contemporanea-e-objectos-de-decoracao
1034,http://www.cml.pt/leiloes/online/1034/leilao-online-de-arte-moderna-e-contemporanea-e-objectos-de-decoracao
1025,http://www.cml.pt/leiloes/online/1025/leilao-online-de-arte-moderna-e-contemporanea-e-objectos-de-decoracao
1014,http://www.cml.pt/leiloes/online/1014/leilao-online-de-arte-moderna-e-contemporanea-e-objectos-de-design
1004,http://www.cml.pt/leiloes/online/1004/leilao-online-arte-moderna-e-contemporanea-e-objectos-de-decoracao
